🌏国际频道,#genre#
tvN,http://198.16.100.186:8278/Tvnmovie/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=bef509366086b2947512e385bb4a33d7
tvN,http://50.7.234.10:8278/TVN/playlist.m3u8?tid=ME2E2714748027147480&ct=19225&tsum=48ef5f1d47a64fc90e5f5ad5b182fb5d
tvN,https://d21dxaer0ypwk1.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-a6m2cy2rylsvo-ssai-prd/54ac8e25_eb5a_4f10_ba20_ffb254f0a16c/hls/playlist.m3u8?
viuTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv#http://php.jdshipin.com:8880/PLTV/iptv.php?id=viutv#http://m.osvs.asia:8000/bysid/99
viuTV,https://turkmedya-live.ercdn.net/tv360/tv360.m3u8
viuTV,https://cdn.iptv8k.top/dl/jrys.php?id=78&time=20240926215313&ip=111.229.253.40
viuTV,http://122.152.202.33/s/81a8a44f/index.m3u8?id=686
ZooMoo,https://zoomoo-samsungau.amagi.tv:443/playlist1080p.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8?blog.ntnas.top#http://61.216.67.119:1935/TWHG/E1/chunklistw70581102.m3u8#http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
翡翠台,http://aktv_stream.m16tv.cfd/stream/aktv2/null/AKTV.m3u8
翡翠台,http://v2h.jdshipin.com:80/jade2/jade.stream/chunklist_w100.m3u8
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3&token=512df05ba47edb46400575c93e179adb7981226d414516400ed1d382cb126adc517715d4ccd3a2276bf3c7b72d52f58905225cf0b1cc461b7888443f
翡翠台,https://cdn.iptv8k.top/dl/jrys.php?id=3&time=20240926215313&ip=111.229.253.40『线路08』
翡翠台,http://50.7.234.10:8278/jade_twn/playlist.m3u8?tid=ME6E1330319113303191&ct=19225&tsum=d76985c4965fd63807e131035f66af09
翡翠台,http://59.32.97.103:9901/tsfile/live/faacts/1035_1.m3u8?key=txiptv&playlive=1&authid=0
翡翠台,http://huangtong-com.cn:9902/tsfile/live/1007_1.m3u8
翡翠台,http://122.152.202.33/s/81a8a44f/index.m3u8?id=53
翡翠台,http://120.198.95.220:9901/tsfile/live/1004_1.m3u8?key=txiptv
翡翠台,http://cdn.163189.xyz/live/fct4k/stream.m3u8
翡翠台,https://cdn.163189.xyz/live/fct4k/stream.m3u8
翡翠台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941619&extension=ts&play_token=p2yEuU1aFS
翡翠台 4K,http://cdn.132.us.kg/live/fct4k/stream.m3u8
翡翠台 4K,http://cdn.163189.xyz/live/fct4k/stream.m3u8
TVBS,http://198.16.100.186:8278/tvbs/playlist.m3u8?tid=MEFE3093330530933305&ct=19249&tsum=ce6b5e9293b3618104ad53084745a223
TVBS,http://50.7.234.10:8278/tvbs/playlist.m3u8?tid=MF7F4816296948162969&ct=19669&tsum=8410a43db059b92d8109cc06c5b88bc0
TVBS,http://122.117.71.103:8544/http/220.130.87.218:8081/hls/75/817/ch058.m3u8
TVBS,http://37.27.111.214:8080/live/23/hls.m3u8
TVBS歡樂,http://198.16.100.186:8278/tvbshuanle_twn/playlist.m3u8?tid=MA9A4111409641114096&ct=19225&tsum=600f3056bba6413dec3155efd19e2d20
TVBS歡樂,http://50.7.234.10:8278/tvbshuanle_twn/playlist.m3u8?tid=MBCB7220883472208834&ct=19234&tsum=82bece8e29754b899ffb60e5246dfc74
TVBS歡樂,http://122.117.71.103:8544/http/61.222.53.250:8081/hls/65/807/ch17.m3u8
TVBS歡樂,http://37.27.111.214:8080/live/24/hls.m3u8
TVBS新聞,http://50.7.234.10:8278/tvbs_n/playlist.m3u8?tid=MA4A2233260122332601&ct=19249&tsum=513a9dcb42fa8b98e1792d513dd3e2ee
TVBS新聞,http://122.117.71.103:8543/http/220.130.87.218:8081/hls/75/817/ch059.m3u8
TVBS新聞,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941622&extension=ts&play_token=E9ymAxKoVJ
TVBS亚洲,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941621&extension=ts&play_token=vFR5CkmzbA
TVB翡翠台,https://cloudfront41.lexanetwork.com:1344/relay01/livestream002.sdp/playlist.m3u8
TVB翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
TVB无线星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB星河,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8
TVB星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe#http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8#http://aktv_stream1.m16tv.cfd/stream/aktv2/tvb/AKTV.m3u8
TVB星河,http://14.212.185.146:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
TVB星河,http://50.7.234.10:8278/Xinhe/playlist.m3u8?tid=MCFC2010151520101515&ct=19249&tsum=a8fd0cb32ef01d8472773a604402a683
TVB星河,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=153506&extension=ts&play_token=miEIuxsBcN
TVB娱乐新闻,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVB娱乐新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw#http://v2hcdn.jdshipin.com/enew/enew.stream/chunklist_w103.m3u8#http://ali.hlspull.yximgs.com/live/6425965d63a08c85ca806bfcc8c75cf4.flv#http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah009-golive.flv
TVB娱乐新闻,http://v2hcdn.jdshipin.com/enew/enew.stream/chunklist_w103.m3u8
凤凰卫视,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰卫视,http://218.202.220.2:5000/nn_live.ts?id=NEWSASIA
凤凰卫视,http://122.152.202.33/s/81a8a44f/index.m3u8?id=15
凤凰卫视,https://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&amp;amp;wsIPSercert=8de23d0849e78e3b16ec92a2092354
凤凰卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&amp;wsIPSercert=8de23d0849e78e3b16ec92a2092354
凤凰卫视,http://cdn.132.us.kg/live/fhzw/stream.m3u8
凤凰卫视,https://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰香港,http://aktv_stream.m16tv.cfd/stream/aktv2/null-5/AKTV.m3u8
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
凤凰香港,http://198.16.100.186:8278/hkphoenix_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=4183c94fea010c7e1abbc12ca204f3f2
凤凰香港,http://203.205.191.53/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰香港,https://cdn.iptv8k.top/dl/jrys.php?id=18&time=20240926215313&ip=111.229.253.40
凤凰香港,http://50.7.234.10:8278/hkphoenix_twn/playlist.m3u8?tid=MACA2858291128582911&ct=19225&tsum=0f01288bbaa6c0403d07e96b0a5db4ed
凤凰香港,https://vdse.bdstatic.com//21684152dde6c7c43bcb74f4ec44cf76.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-03-14T18%3A00%3A38Z%2F-1%2Fhost%2Fe3fa4e39b578e1ea6a3570ace8d7bb350e84bef4f5150e572039613c5bd931a0
凤凰香港,http://122.152.202.33/s/81a8a44f/index.m3u8?id=fhhk TVB
凤凰香港,https://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639&amp;amp;wsIPSercert=6f8d45434604e7d22f5b0abbc0231d01&amp;amp;wsMonitor=0
凤凰香港,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639&amp;wsIPSercert=6f8d45434604e7d22f5b0abbc0231d01&amp;wsMonitor=0
凤凰香港,https://cdn6.163189.xyz/live/fhhk/stream.m3u8
凤凰中文,http://aktv_stream.m16tv.cfd/stream/aktv2/null-1/AKTV.m3u8
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰中文,http://198.16.100.186:8278/phoenixtv_hd/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=6c4718b80e294357af0ceb878ca6e0f7
凤凰中文,http://39.164.174.139:5000/nl.m3u8?id=FHZWHD
凤凰中文,http://120.55.49.231:3095/rtp/233.50.200.191:5140
凤凰中文,https://piccpndks.v.kcdnvip.com/audio/xianggangweishi_2.m3u8
凤凰中文,http://218.202.220.2:5000/nn_live.ts?id=NEWSASIA
凤凰中文,http://110.81.206.138:49231/tsfile/live/23020_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_audio.m3u8
凤凰中文,https://cdn.iptv8k.top/dl/jrys.php?id=19&time=20240926215313&ip=111.229.253.40
凤凰中文,http://50.7.234.10:8278/phoenixtv_hd/playlist.m3u8?tid=MFBF2713938527139385&ct=19225&tsum=1c8ca0899277714ab83db57245220068
凤凰中文,http://115.149.139.141:10000/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
凤凰中文,http://59.32.97.103:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://122.152.202.33/s/81a8a44f/index.m3u8?id=15
凤凰中文,http://120.198.95.220:9901/tsfile/live/1036_1.m3u8?key=txiptv
凤凰中文,http://183.237.95.108:9901/tsfile/live/1103_1.m3u8?key=txiptv&playlive=0&authid=0
凤凰中文,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&amp;wsIPSercert=8de23d0849e78e3b16ec92a2092354
凤凰中文,http://cdn.132.us.kg/live/fhzw/stream.m3u8
凤凰中文,http://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文,https://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文,http://122.117.71.103:8574/http/61.222.53.250:8078/hls/21/80/phoenixch.m3u8?txiptv&playlive
凤凰资讯,http://aktv_stream.m16tv.cfd/stream/aktv2/null-2/AKTV.m3u8
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx#http://43.129.81.169/qctv.fengshows.cn/live/0701pin72.flv#http://47.76.146.40:2095/stream/bxtv/null-3/master.m3u8?u=xiaojia&p=edae81555a120d107ce989b744c762c7031a03490a7cb78b3613ab6d7b947ceb#http://aktv_stream1.m16tv.cfd/stream/aktv/null-4/AKTV.m3u8#http://39.164.174.139:5000/nl.m3u8?id=FHZXHD#http://43.129.81.169/qctv.fengshows.cn/live/0701pin72.m3u8#http://223.105.252.59/PLTV/3/224/3221228524/index.m3u8#https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8#http://43.129.81.169/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8#http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8#http://117.169.124.37:6610/ysten-businessmobile/live/fhzixun/1.m3u8#http://117.169.124.43:6610/ysten-businessmobile/live/fhzixun/index.m3u8#http://r.jdshipin.com/0Rp07#http://122.117.71.103:8573/http/61.222.53.250:8078/hls/20/80/phoenixif.m3u8#http://61.221.215.25:8800/hls/47/index.m3u8#http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5282&tk=2aca1ad9a849#http://117.27.190.42:9998/tsfile/live/23279_1.m3u8?#http://117.27.190.42:9998/tsfile/live/23279_1.m3u8#http://117.27.190.42:9998/tsfile/live/23279_1.m3u8?key=txiptv#http://162.62.120.19/qctv.fengshows.cn/live/0701pin72.flv#http://quan2018.mycloudnas.com:51888/play/a015/index.m3u8#https://ali.hlspull.yximgs.com/live/qq491695550-fh.flv#http://221.7.175.154:8445/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0#http://108.181.20.197/livehttpplay?channel_id=30015#https://cdn3.163189.xyz/live/fhzx/stream.m3u8#http://cdn5.1678520.xyz/live/?id=fhzx#http://kxrj.site:1333/86/fh.php?id=fhzx#http://211.72.65.236:8576/.m3u8#http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236197/index.m3u8
凤凰资讯,http://198.16.100.186:8278/phoenixinfo_hd/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=eebd39d54d44acac9b9e72161dd32374
凤凰资讯,http://203.205.191.53/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯,http://39.164.174.139:5000/nl.m3u8?id=FHZXHD
凤凰资讯,http://120.55.49.231:3095/rtp/233.50.200.192:5140
凤凰资讯,http://218.202.220.2:5000/nn_live.ts?id=FHZX
凤凰资讯,http://110.81.206.138:49231/tsfile/live/23019_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8
凤凰资讯,http://120.198.95.220:9901/tsfile/live/1037_1.m3u8?key=txiptv
凤凰资讯,http://ax.micaesoft.com/YMitv/YMITV_CN_ifengNEW.m3u8
凤凰资讯,https://cdn6.163189.xyz/live/fhzx/stream.m3u8
凤凰资讯,http://122.117.71.103:8573/http/61.222.53.250:8078/hls/20/80/phoenixif.m3u8
公視,http://50.7.234.10:8278/ctv_taiwan/playlist.m3u8?tid=MCCC8750228587502285&ct=19225&tsum=aca6268c0dd9f618ed5e944942132557
公視,http://122.117.71.103:8505/http/61.222.53.250:8081/hls/87/80/Pts4max.m3u8
好消息2,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
好消息2,http://50.7.234.10:8278/good2_twn/playlist.m3u8?tid=ME9E3966510439665104&ct=19225&tsum=a2788b2ccea04a8a8082d663fb7838e5
红牛REDBULLTV,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_3360.m3u8
华丽台,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8
华丽台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali#http://107.174.127.132:2082/smart?user=xmaoyuefu&playurl=http://198.16.100.90:8278/Wlt/playlist.m3u8#http://v2h.jdshipin.com/jade/jade.stream/chunklist.m3u8
華視,http://198.16.100.186:8278/ctshd_twn/playlist.m3u8?tid=MC3C3582911835829118&ct=19249&tsum=f2c0c86801d43be647206c4ddb8e9ce6
華視,http://50.7.234.10:8278/ctshd_twn/playlist.m3u8?tid=MD3D4860867448608674&ct=19193&tsum=773d4005ddbc68ed16154cc49ba1fc76
華視,http://122.117.71.103:8503/http/220.130.87.218:8081/hls/89/80/Cts4max.m3u8
華視,http://37.27.111.214:8080/live/8/hls.m3u8
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8?
寰宇新聞台,http://122.117.71.103:8548/http/220.130.87.218:8081/hls/76/818/ch062.m3u8
寰宇新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
靖天國際,http://198.16.100.186:8278/jingtianintl_twn/playlist.m3u8?tid=MC7C4153806141538061&ct=19254&tsum=79854f3ccdc23693ea39da52af54d35b
靖天國際,http://50.7.234.10:8278/jingtianintl_twn/playlist.m3u8?tid=MC7C4153806141538061&ct=19254&tsum=79854f3ccdc23693ea39da52af54d35b
靖天资讯,https://cdn.iptv8k.top/dl/jrys.php?id=315&time=20240926215313&ip=111.229.253.40
龙祥时代,http://198.16.100.186:8278/lungxiangtime_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=97b5a1d6e0010c40e6d8781805a70ba2
龍華電影台,http://198.16.100.186:8278/xingwei_movie/playlist.m3u8?tid=MBAB2096754620967546&ct=18392&tsum=2c800c1f0b6cc98d2404608c294dcbc2
龍華電影台,http://50.7.234.10:8278/xingwei_movie/playlist.m3u8?tid=MBAB2096754620967546&ct=18392&tsum=2c800c1f0b6cc98d2404608c294dcbc2
龍華電影台,http://122.117.71.103:8555/龙华电影.m3u8#http://122.117.71.103:8555/http/61.222.53.250:8081/hls/75/817/ch59.m3u8#http://122.117.71.103:8555/http/61.222.53.250:8068/hls/10/80/cstv10.m3u8#http://aktv_stream1.m16tv.cfd/stream/aktv/null-23/AKTV.m3u8#http://live_bin.m16tv.cfd/stream/taiwan/null-8/AKTV.m3u8
龍華電影台,http://37.27.111.214:8080/live/19/hls.m3u8
龍華偶像台,http://50.7.234.10:8278/lunghuaidol_twn/playlist.m3u8?tid=MD6D6087277960872779&ct=19249&tsum=83e30fd8200429793355d21bf37719ff
龍華日韓台,http://37.27.111.214:8080/live/42/hls.m3u8
龍華戲劇,http://198.16.100.186:8278/lunghuaxiju_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=6e351c1cca8c4f6d4a8be9b8d774dc0a
龍華戲劇,http://50.7.234.10:8278/lunghuaxiju_twn/playlist.m3u8?tid=m5c1b0bf1531015581628&ct=17874&tsum=2d2c4d6761fa92d63b97c0fe787007cb
龍華戲劇,http://122.117.71.103:8533/http/61.222.53.250:8068/hls/13/80/cstv13.m3u8#http://122.117.71.103:8533/http/61.222.53.250:8081/hls/75/817/ch59.m3u8#http://122.117.71.103:8533/龙华戏剧.m3u8
龍華戲劇,http://37.27.111.214:8080/live/41/hls.m3u8
龍華洋片,http://198.16.100.186:8278/lunghuawestern_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=3c9ccd421d05ff4a3af2c02d56b4b3c6
龍華洋片,http://50.7.234.10:8278/lunghuajingdian_twn/playlist.m3u8?tid=MC2C7597780175977801&ct=19249&tsum=b7602981567d8f0171e8de29154f5014
龍華洋片,http://37.27.111.214:8080/live/19/hls.m3u8
龍祥時代,http://198.16.100.186:8278/lungxiangtime_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=97b5a1d6e0010c40e6d8781805a70ba2
罗马尼亚BANATTV,https://www.btv.ro/hls/banat-tv.m3u8
罗马尼亚JIMJAMRomania,http://ott.watch/stream/E9LDH2ZCN7/150.m3u8
罗马尼亚KanalD,https://kjhls.wns.live/hls/stream.m3u8
美亞電影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya#http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
美亞電影,http://198.16.100.186:8278/meiyamovie_twn/playlist.m3u8?tid=mcfe3e109029013892155&ct=17874&tsum=164baeda6ab6c4160f2775128cfc6f4e
美亞電影,http://50.7.234.10:8278/meiyamovie_twn/playlist.m3u8?tid=MD3D6323299363232993&ct=18392&tsum=3f73f541d33abe71140d28ada99a071b
明珠台,http://aktv_stream.m16tv.cfd/stream/aktv2/null-3/AKTV.m3u8
明珠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=mzt#http://aktv_stream1.m16tv.cfd/stream/aktv/null-2/AKTV.m3u8#http://beishan008.asuscomm.com:8890/bysid/2.m3u8#http://bziyunshao.synology.me:8890/bysid/2#http://qwas.eatuo.com:9901/tsfile/live/1014_1.m3u8?zgangd#http://1b6467f415.iok.la:9931/tsfile/live/1009_1.m3u8#http://8.138.7.223/tv/gdmzyd.php?id=3
明珠台,http://198.16.100.186:8278/pearl_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=23ce061d52e67be92cb89a222e9958a2
明珠台,http://50.7.234.10:8278/pearl_twn/playlist.m3u8?tid=MC6C7041327570413275&ct=19226&tsum=681972baf66d69caf7cccc92a90e5aad
明珠台,http://59.32.97.103:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
明珠台,http://huangtong-com.cn:9902/tsfile/live/1009_1.m3u8
明珠台,http://122.152.202.33/s/81a8a44f/index.m3u8?id=23
明珠台,http://jsmov2.a.yximgs.com/bs3/video-hls/5259922993058236574_hlsb.m3u8
南国都市,https://tencentplaywebsite.gztv.com/live/nanguodushi.m3u8?txSecret=e93eb85173edb8a0c70fd1438c7bd7d7&txTime=193108637cb
南国都市,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4
南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
南国都市,http://api2.52tb.xyz/info?id=419&token=20230405tndmhg
千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc#http://cdn9.163189.xyz/smt3.1.1.php?id=Tvbclassic#http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8#http://php.jdshipin.com:8880/smt.php?id=Tvbclassic#https://pixman.mytvsuper.com.mp/Smart.php?id=Tvbclassic#http://eu.huohuoaa.tech:1025/Smart.php?id=Tvbclassic#http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=571197&extension=ts&play_token=S0w0stULcO#http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1381&tk=e503191f8e20#http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0356&tk=e640d0a1bf70#http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8155&tk=e640d0a1bf70#http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9190&tk=e640d0a1bf70#http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9168&tk=e640d0a1bf70
千禧经典,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=571197&extension=ts&play_token=S0w0stULcO
三立都會,http://50.7.234.10:8278/sanlidouhui_twn/playlist.m3u8?tid=md028b33ea0f7&ct=19361&tsum=1930e4b2cfbbd2f9f821af1c41e8d18d
三立都會,http://122.117.71.103:8521/http/220.130.87.218:8081/hls/65/807/ch019.m3u8
三立台湾,http://198.16.100.186:8278/sanlitaiwan/playlist.m3u8?tid=m92ccadc4dc3718157816&ct=17874&tsum=3570a8198ca0fb7ebb803807e38b33fb
三立台湾,https://cdn.iptv8k.top/dl/jrys.php?id=269&time=20240926215313&ip=111.229.253.40
三立台湾,http://50.7.234.10:8278/sanlitaiwan/playlist.m3u8?tid=MD3D6272113862721138&ct=19344&tsum=67db4abe16d57b8ac1ca573eab42c5e4
三立台湾,http://122.117.71.103:8520/http/61.222.53.250:8081/hls/65/807/ch20.m3u8
三立新闻,https://cdn.iptv8k.top/dl/jrys.php?id=273&time=20240926215313&ip=111.229.253.40
